Ug;Pr;nh;do;DT;s;e;h
0,053;7;1;0,009;0,1;0,072;0,139;7,7
0,069;7;1;0,009;0,1;0,072;0,163;8
0,094;7;1;0,009;0,1;0,072;0,2;8,5
0,145;7;1;0,009;0,1;0,072;0,255;9,1
0,22;7;1;0,009;0,1;0,072;0,317;9,6
0,33;7;1;0,009;0,1;0,072;0,4;10
0,053;7;1;0,009;0,1;0,072;0,139;7,2
0,069;7;1;0,009;0,1;0,072;0,163;7,7
0,097;7;1;0,009;0,1;0,072;0,2;8
0,15;7;1;0,009;0,1;0,072;0,255;8,3
0,22;7;1;0,009;0,1;0,072;0,317;9
0,34;7;1;0,009;0,1;0,072;0,4;9
0,052;7;1;0,0206;0,19;0,072;0,139;6,9
0,069;7;1;0,0206;0,19;0,072;0,163;7,1
0,099;7;1;0,0206;0,19;0,072;0,2;7,6
0,15;7;1;0,0206;0,19;0,072;0,255;8
0,22;7;1;0,0206;0,19;0,072;0,317;8,3
0,32;7;1;0,0206;0,19;0,072;0,4;8,9
0,053;36,3;1;0,0206;0,1;0,0239;0,181;1,58
0,07;36,3;1;0,0206;0,1;0,0239;0,213;1,62
0,1;36,3;1;0,0206;0,1;0,0239;0,262;1,86
0,152;36,3;1;0,0206;0,1;0,0239;0,333;1,86
0,221;36,3;1;0,0206;0,1;0,0239;0,414;2,02
0,331;36,3;1;0,0206;0,1;0,0239;0,522;2,2
0,053;18,2;1;0,0206;0,1;0,0382;0,165;3,44
0,1;18,2;1;0,0206;0,1;0,0382;0,237;3,85
0,053;11,9;1;0,0206;0,1;0,0525;0,153;5,2
0,07;11,9;1;0,0206;0,1;0,0525;0,18;5,46
0,1;11,9;1;0,0206;0,1;0,0525;0,221;5,87
0,152;11,9;1;0,0206;0,1;0,0525;0,282;6,31
0,221;11,9;1;0,0206;0,1;0,0525;0,35;6,79
0,331;11,9;1;0,0206;0,1;0,0525;0,442;7,48
0,053;9,6;1;0,0206;0,1;0,058;0,148;5,51
0,1;9,6;1;0,0206;0,1;0,058;0,214;6,37
0,221;9,6;1;0,0206;0,1;0,058;0,339;7,3
0,053;14,35;1;0,0206;0,1;0,072;0,161;2,64
0,07;14,35;1;0,0206;0,1;0,072;0,189;2,57
0,1;14,35;1;0,0206;0,1;0,072;0,233;2,57
0,152;14,35;1;0,0206;0,1;0,072;0,293;2,84
0,221;14,35;1;0,0206;0,1;0,072;0,368;2,91
0,331;14,35;1;0,0206;0,1;0,072;0,465;2,91
0,053;71,8;1;0,0206;0,1;0,074;0,189;3,89
0,07;71,8;1;0,0206;0,1;0,074;0,222;3,98
0,1;71,8;1;0,0206;0,1;0,074;0,273;4,28
0,152;71,8;1;0,0206;0,1;0,074;0,347;4,72
0,221;71,8;1;0,0206;0,1;0,074;0,432;4,95
0,331;71,8;1;0,0206;0,1;0,074;0,545;5,25
0,0063;7,6;47;0,0005;0,45;0,072;0,0175;2,65
0,0137;7,6;47;0,0005;0,45;0,072;0,0364;3,48
0,0147;7,6;47;0,0005;0,45;0,072;0,0388;3,52
0,0285;7,6;47;0,0005;0,45;0,072;0,0699;4,13
0,0295;7,6;47;0,0005;0,45;0,072;0,072;4,32
0,0404;7,6;47;0,0005;0,45;0,072;0,0938;4,58
0,0445;7,6;47;0,0005;0,45;0,072;0,1013;4,74
0,0503;7,6;47;0,0005;0,45;0,072;0,1116;4,52
0,0503;7,6;47;0,0005;0,45;0,072;0,1116;4,84
